ce_vol,ce_strength,ce_chg,strike,pe_vol,ce_ltp,pe_chg,pe_ltp,pe_iv,pe_strength,pe_oi,symbol,ce_iv,ce_oi
513076,511577,-11731,25950,2623060,266.55,43268,12.9,8.07,2768057,101729,NIFTY,6.9,10232
2948330,2928031,-70133,26000,6212187,222.35,91586,18.2,7.78,6528023,224250,NIFTY,6.96,49834
2704608,2678806,-43719,26050,4121647,179.45,67737,26.15,7.57,4302511,113127,NIFTY,6.78,17917
5741833,5737368,-66686,26100,5591852,141.65,81359,37.85,7.43,5813019,139808,NIFTY,6.82,62221
4841738,4888029,-5219,26150,3928751,107.55,53493,53.55,7.31,4047549,65305,NIFTY,6.78,51510
7121360,7266752,13301,26200,4150217,78.25,62594,74.45,7.24,4306345,93534,NIFTY,6.71,132091
3649603,3727885,16308,26250,1035072,54.85,11518,100.0,7.14,1064783,18193,NIFTY,6.7,61974
4803743,4914012,-2169,26300,931255,36.05,13017,131.55,7.14,969510,25238,NIFTY,6.61,112438
2762825,2852200,19641,26350,186158,22.7,5035,167.95,7.18,198427,7234,NIFTY,6.58,69734
3522374,3708460,46222,26400,220042,13.5,2135,209.65,7.44,234058,11881,NIFTY,6.55,139864
1959823,2050524,24600,26450,33690,8.2,1755,254.25,7.78,38185,2740,NIFTY,6.66,66101
50183,50039,-2436,59300,58371,1081.8,1381,312.0,10.45,65781,6029,BANKNIFTY,9.12,2292
47684,49035,-2474,59400,52423,1016.8,156,339.6,10.38,57872,5293,BANKNIFTY,9.22,3825
140957,163722,-6338,59500,167507,938.0,3476,367.25,10.27,218552,47569,BANKNIFTY,9.02,29103
74250,77920,-1316,59600,70439,876.2,1484,404.15,10.29,77454,5531,BANKNIFTY,9.09,4986
73974,82375,755,59700,65481,815.0,2639,437.3,10.21,75038,6918,BANKNIFTY,9.11,7646
69412,77750,-328,59800,46396,752.0,3163,475.05,10.16,57955,8396,BANKNIFTY,9.06,8666
44259,49617,-757,59900,27035,695.0,1438,519.9,10.2,31443,2970,BANKNIFTY,9.07,6115
183359,214391,-5344,60000,76929,636.25,4966,563.25,10.16,104063,22168,BANKNIFTY,9.0,36376
36575,43485,501,60100,12083,589.9,1066,610.75,10.16,16522,3373,BANKNIFTY,9.09,6409
29508,33802,-209,60200,7358,536.0,79,660.0,10.14,9383,1946,BANKNIFTY,9.01,4503
27336,29871,-489,60300,5544,489.35,-906,713.45,10.15,5929,1291,BANKNIFTY,9.01,3024
137,476,32,1490,2958,65.9,-116,5.35,16.32,3673,831,RELIANCE,10.64,307
1974,7450,36,1500,10373,58.1,93,6.9,16.07,15437,4971,RELIANCE,12.37,5440
802,1183,91,1510,5143,50.1,75,8.95,15.93,6060,842,RELIANCE,12.7,290
6125,7113,11,1520,8766,42.05,418,11.3,15.68,11177,1993,RELIANCE,12.45,977
12022,14572,679,1530,8694,35.5,569,14.45,15.63,11108,1845,RELIANCE,12.88,1871
15585,19804,325,1540,7022,29.6,376,18.35,15.7,10238,2840,RELIANCE,13.21,3894
15749,21787,-158,1550,3759,24.0,-146,22.7,15.66,7433,3820,RELIANCE,13.24,6196
11340,19351,-450,1560,1979,19.1,-121,27.8,15.7,5124,3266,RELIANCE,13.25,8461
7421,11400,-46,1570,542,15.1,145,33.5,15.73,2790,2103,RELIANCE,13.36,4025
9527,15168,-142,1580,253,11.6,-84,40.0,15.9,1558,1389,RELIANCE,13.37,5783
4036,6279,11,1590,69,8.5,-25,51.3,19.02,433,389,RELIANCE,13.19,2232
658,1210,-111,3140,2273,127.2,-87,14.5,16.73,4000,1814,TCS,11.65,663
1004,2192,-212,3160,3056,109.15,-245,18.15,16.47,4738,1927,TCS,11.27,1400
1003,2083,-48,3180,2916,94.05,-35,23.65,16.61,4192,1311,TCS,11.89,1128
8442,13436,-770,3200,9901,80.9,-52,29.0,16.35,13653,3804,TCS,12.61,5764
4173,5194,-201,3220,4492,67.95,-22,36.0,16.31,5447,977,TCS,12.82,1222
9011,10497,-215,3240,5985,56.5,141,44.3,16.34,7793,1667,TCS,13.04,1701
10103,13832,121,3260,3971,46.5,-16,54.9,16.71,4777,822,TCS,13.26,3608
5333,8027,469,3280,1414,37.75,107,65.3,16.69,1890,369,TCS,13.43,2225
16261,21142,132,3300,3605,29.95,-84,76.95,16.71,5168,1647,TCS,13.49,4749
2942,4213,-88,3320,286,23.25,44,91.15,17.21,541,211,TCS,13.49,1359
2944,4230,27,3340,77,18.4,19,113.35,20.05,198,102,TCS,13.73,1259
320,925,-149,1520,3671,103.0,377,4.1,20.26,6468,2420,INFY,0.0,754
692,1953,-250,1540,4928,85.3,97,5.9,19.36,8043,3018,INFY,12.02,1511
1469,3082,-236,1560,5652,67.6,346,8.7,18.65,9521,3523,INFY,13.04,1849
