metrics,coi,timestamp,price_trend,volume,atm,iv_trend,distance_from_atm,vwap_dev,score,symbol,strike,pcr,oi_ratio,oi,option_type,signal,ltp,iv,ema_trend,oi_speed
"{'price_trend_pct': 0.0, 'ema_prev': 6.9, 'ema_new': 6.9, 'ema_delta': 0.0, 'vwap': 6.899999999999997, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 16.07, 'oi_speed': 0.0, 'ltp': 6.9, 'volume': 10373, 'coi': 93}",93,2025-12-07 14:13:23,0.0,10373,1540,0.0,40,0.0,0.0,RELIANCE,1500,0.549,0.615,4971,PE,STRONG SELL,6.9,16.07,0.0,0.0
"{'price_trend_pct': 0.0, 'ema_prev': 18.9, 'ema_new': 18.9, 'ema_delta': 0.0, 'vwap': 18.89999999999999, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 17.75, 'oi_speed': 0.0, 'ltp': 18.9, 'volume': 15852, 'coi': 2176}",2176,2025-12-07 14:13:26,0.0,15852,1620,0.0,20,0.0,0.0,INFY,1600,0.708,0.508,7079,PE,SELL,18.9,17.75,0.0,0.0
"{'price_trend_pct': 0.0, 'ema_prev': 10.9, 'ema_new': 10.9, 'ema_delta': 0.0, 'vwap': 10.900000000000006, 'vwap_dev_pct': -0.0, 'iv_delta': 0.0, 'iv_now': 13.99, 'oi_speed': 0.0, 'ltp': 10.9, 'volume': 15513, 'coi': 1121}",1121,2025-12-07 14:13:27,0.0,15513,1000,0.0,0,-0.0,0.0,HDFCBANK,1000,0.642,0.683,7242,PE,SELL,10.9,13.99,0.0,0.0
"{'price_trend_pct': 0.0, 'ema_prev': 23.75, 'ema_new': 23.75, 'ema_delta': 0.0, 'vwap': 23.75, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 15.74, 'oi_speed': 0.0, 'ltp': 23.75, 'volume': 3353, 'coi': -150}",-150,2025-12-07 14:13:30,0.0,3353,2100,0.0,0,0.0,0.0,BHARTIARTL,2100,0.542,0.564,2913,PE,STRONG SELL,23.75,15.74,0.0,0.0
"{'price_trend_pct': 0.0, 'ema_prev': 36.15, 'ema_new': 36.15, 'ema_delta': 0.0, 'vwap': 36.15000000000001, 'vwap_dev_pct': -0.0, 'iv_delta': 0.0, 'iv_now': 15.28, 'oi_speed': 0.0, 'ltp': 36.15, 'volume': 3298, 'coi': 264}",264,2025-12-07 14:13:33,0.0,3298,4040,0.0,40,-0.0,0.0,LT,4000,0.714,0.62,2431,PE,SELL,36.15,15.28,0.0,0.0
"{'price_trend_pct': 0.0, 'ema_prev': 16.55, 'ema_new': 16.55, 'ema_delta': 0.0, 'vwap': 16.549999999999997, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 16.06, 'oi_speed': 0.0, 'ltp': 16.55, 'volume': 2938, 'coi': -172}",-172,2025-12-07 14:13:34,0.0,2938,1280,0.0,0,0.0,0.0,AXISBANK,1280,0.616,0.506,1363,PE,SELL,16.55,16.06,0.0,0.0
"{'price_trend_pct': 0.0, 'ema_prev': 48.95, 'ema_new': 48.95, 'ema_delta': 0.0, 'vwap': 48.95, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 19.42, 'oi_speed': 0.0, 'ltp': 48.95, 'volume': 11405, 'coi': -328}",-328,2025-12-07 14:13:36,0.0,11405,2340,0.0,20,0.0,0.0,HINDUNILVR,2360,0.625,0.626,464,PE,SELL,48.95,19.42,0.0,0.0
"{'price_trend_pct': 0.0, 'ema_prev': 15.6, 'ema_new': 15.6, 'ema_delta': 0.0, 'vwap': 15.600000000000005, 'vwap_dev_pct': -0.0, 'iv_delta': 0.0, 'iv_now': 20.13, 'oi_speed': 0.0, 'ltp': 15.6, 'volume': 4988, 'coi': 472}",472,2025-12-07 14:13:38,0.0,4988,1050,0.0,10,-0.0,0.0,BAJFINANCE,1040,0.739,0.657,1503,PE,SELL,15.6,20.13,0.0,0.0
"{'price_trend_pct': 0.0, 'ema_prev': 75.6, 'ema_new': 75.6, 'ema_delta': 0.0, 'vwap': 75.59999999999997, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 27.13, 'oi_speed': 0.0, 'ltp': 75.6, 'volume': 1449, 'coi': 453}",453,2025-12-07 14:13:39,0.0,1449,2260,0.0,40,0.0,0.0,ADANIENT,2300,0.648,0.541,3395,PE,SELL,75.6,27.13,0.0,0.0
"{'price_trend_pct': 0.0, 'ema_prev': 19.5, 'ema_new': 19.5, 'ema_delta': 0.0, 'vwap': 19.5, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 14.54, 'oi_speed': 0.0, 'ltp': 19.5, 'volume': 1137, 'coi': -70}",-70,2025-12-07 14:13:41,0.0,1137,1800,0.0,0,0.0,0.0,SUNPHARMA,1800,0.458,0.34,585,PE,STRONG SELL,19.5,14.54,0.0,0.0
